Time,Raw.Pin 17,Raw.Pin 18,Raw.Pin 19,Raw.Pin 20,Raw.Pin 21,Raw.Pin 22,Raw.Pin 23,Raw.Pin 24,Raw.Pin 25,Raw.Pin 26,Raw.Pin 27,Raw.Pin 28,Raw.Pin 29,Raw.Pin 30,Raw.Pin 31,Raw.Pin 32,Voltage.1,Voltage.2,Voltage.3,Voltage.4,Voltage.5,Voltage.6,Voltage.7,Voltage.8,Voltage.9,Voltage.10,Voltage.11,Voltage.12,Voltage.13,Voltage.14,Voltage.15,Voltage.16
s,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
0,0.00335693,0.000915527,-0.000915527,0.000305176,0.00305176,0.000610352,0.00274658,0.000915527,0.00152588,0.00274658,0,-0.000610352,0.00244141,0.00183105,0.000305176,0.00152588,0.0154903,0.0160045,0.0146175,0.0136408,0.0109767,0.0143933,0.0088678,0.0136367,0.0181149,0.0193428,0.0180607,0.0136792,0.0168181,0.0152883,0.0123158,0.0113487
0.001,0.000610352,0.000305176,-0.000610352,0.00213623,-0.0012207,0.0012207,0.00244141,0.00274658,0.000915527,0.000610352,-0.000610352,-0.00152588,0.00244141,0.00488281,0.00335693,0.00244141,0.0148799,0.0147838,0.0135494,0.0128779,0.01235,0.0153088,0.0111566,0.0137892,0.016589,0.0172065,0.0159245,0.0158154,0.0151396,0.0143728,0.0114003,0.0128746
0.002,0.00152588,0,0.000610352,0.000305176,0.00152588,0.00183105,0.00305176,0.00305176,0.000915527,0.000915527,0.00274658,0.00305176,0.00183105,0.000915527,-0.000305176,0.0012207,0.0133541,0.0120372,0.0130916,0.013183,0.0129604,0.0153088,0.0105463,0.0136367,0.017352,0.0170539,0.0153141,0.014137,0.0128508,0.0143728,0.0123158,0.0124168
0.003,0.00305176,0.000915527,0.00396729,0.0012207,0.00213623,0.000305176,0.00244141,0.000610352,0.00244141,0.000610352,-0.0012207,-0.000915527,0.00335693,0.000915527,0.00244141,0.00183105,0.0148799,0.0147838,0.0135494,0.0121149,0.0120448,0.0177502,0.0125299,0.0137892,0.0176571,0.0179695,0.0163822,0.0161206,0.0165129,0.0145253,0.0088063,0.0090599
0.004,0.00396729,0.00213623,0.00183105,0.00244141,0.00152588,0.00152588,0.00335693,0.00152588,-0.000305176,-0.0012207,0.000610352,0.000610352,0.00457764,-0.000610352,0.00183105,0.0012207,0.0157955,0.0140208,0.0140071,0.0130304,0.0109767,0.0175976,0.0108514,0.0139418,0.0176571,0.0178169,0.0151615,0.0118481,0.0154448,0.0143728,0.0124684,0.012722
0.005,0.00396729,0.000610352,-0.000305176,0.00213623,0.00274658,0.0012207,0.00183105,0.000305176,0.00305176,0.0012207,0.00152588,-0.000305176,0.00244141,0,0.00335693,0.000915527,0.0156429,0.0156993,0.0132442,0.0136408,0.0111293,0.0177502,0.0140558,0.0137892,0.0167416,0.0153755,0.0131779,0.0118481,0.0160552,0.0169667,0.0115529,0.010891
0.006,0.00183105,0.00152588,0.00183105,0.000305176,0.000305176,0.00244141,0.0012207,0.00335693,-0.00152588,0.00213623,0.00183105,0.00183105,0.00152588,0.00274658,0.00305176,0.000915527,0.0150325,0.0147838,0.0130916,0.0134882,0.0120448,0.0162244,0.0111566,0.0133315,0.0178097,0.0170539,0.0154667,0.0142895,0.0159026,0.0146779,0.0114003,0.0121117
0.007,0.00305176,0.00213623,0.000305176,0.00183105,0.00274658,0.00396729,0.00213623,0.00183105,0.00213623,0.00213623,0.0012207,0.00305176,0.00274658,0.000610352,0.00213623,0.00274658,0.0168636,0.0173778,0.0138546,0.0130304,0.00945083,0.01302,0.0116144,0.0127211,0.0193356,0.0175117,0.0143986,0.014137,0.0155974,0.0145253,0.00911148,0.0111961
0.008,0.00488281,-0.000610352,0.00396729,-0.000915527,0.00244141,0.00152588,0.00640869,0.00244141,0.00274658,0.00183105,0.00213623,0.00213623,0.00366211,0.00244141,0.0012207,0.00213623,0.0135067,0.0149364,0.0132442,0.0136408,0.01235,0.0159192,0.00917298,0.0143996,0.0162838,0.0170539,0.0180607,0.0130688,0.0162078,0.0143728,0.0114003,0.015316
0.009,0.00427246,0.00152588,0.00152588,0.00183105,0.00274658,0.00335693,0.00274658,0.0012207,0.00213623,0.00152588,0.00213623,0.000610352,0.000915527,-0.000305176,0.00152588,0.00305176,0.0133541,0.014326,0.0132442,0.0144037,0.0114345,0.0165295,0.0111566,0.0131789,0.0164364,0.0170539,0.0157719,0.0132214,0.0134612,0.0142202,0.0110951,0.0116539
0.01,0.00244141,0.00152588,0.0012207,0.00213623,0.00549316,0.00274658,0.0012207,0.00335693,0.00305176,-0.000610352,0.00244141,-0.000915527,0.00152588,0.00274658,0.00366211,0.0012207,0.0150325,0.0115794,0.0123287,0.0118097,0.0115871,0.0195813,0.0088678,0.0136367,0.0171994,0.0169014,0.0188237,0.0130688,0.0163603,0.0117788,0.0088063,0.0121117
0.011,0.00274658,0.00183105,0.000610352,0.000610352,0.00427246,0.00305176,0.00213623,0.000915527,-0.000610352,0.00213623,0.000915527,0.00305176,0,0.0012207,0.00305176,0.00549316,0.0153377,0.0150889,0.0135494,0.0134882,0.0115871,0.0169873,0.011004,0.0137892,0.0171994,0.0178169,0.0154667,0.0130688,0.0165129,0.0140676,0.0109425,0.012722
0.012,0.00305176,0.000305176,0.00183105,0.0012207,0.00152588,0.000610352,0.00213623,0.00274658,0.00213623,0.00183105,0.000305176,-0.000305176,0.00457764,0.00244141,0.0012207,0.00305176,0.0164058,0.0141734,0.0123287,0.0127253,0.00929825,0.0191235,0.0105463,0.0133315,0.0149106,0.0138496,0.0176029,0.0147473,0.017581,0.0140676,0.0118581,0.0111961
0.013,0.00335693,0.000610352,0.000610352,-0.000305176,0.00305176,0.00213623,0.00427246,0,0.000305176,0.00305176,0.00396729,0.00152588,0.00305176,0.00274658,0.00152588,0.000305176,0.0139644,0.0152415,0.0132442,0.0125727,0.00945083,0.0168347,0.0105463,0.0140944,0.017352,0.0176643,0.0157719,0.0112378,0.0166655,0.0143728,0.012621,0.0118065
